name,ID,tags
Balu shahi,1,maida flour  yogurt  oil  sugarvegetariansweetwest bengaleast
Boondi,2,gram flour  ghee  sugarvegetariansweetrajasthanwest
Gajar ka halwa,3,carrot  milk  sugar  ghee  cashew  raisinsvegetariansweetpunjabnorth
Ghevar,4,flour  ghee  kewra  milk  clarified butt  sugar  almond  pistachio  saffron  green cardamomvegetariansweetrajasthanwest
Gulab jamun,5,milk powd  plain flour  baking powd  ghee  milk  sugar  water  rose watervegetariansweetwest bengaleast
Imarti,6,sugar syrup  lentil flourvegetariansweetwest bengaleast
Jalebi,7,maida  corn flour  baking soda  vinegar  curd  water  turmer  saffron  cardamomvegetariansweetuttar pradeshnorth
Kaju katli,8,cashew  ghee  cardamom  sugarvegetariansweet-1-1
Kalakand,9,milk  cottage chees  sugarvegetariansweetwest bengaleast
Kheer,10,milk  rice  sugar  dried fruitsvegetariansweet-1-1
Laddu,11,gram flour  ghee  sugarvegetariansweet-1-1
Lassi,12,yogurt  milk  nut  sugarvegetariansweetpunjabnorth
Nankhatai,13,refined flour  besan  ghee  powdered sugar  yoghurt  green cardamomvegetariansweet-1-1
Petha,14,firm white pumpkin  sugar  kitchen lim  alum powdervegetariansweetuttar pradeshnorth
Phirni,15,rice  sugar  nutsvegetariansweetodishaeast
Rabri,16,condensed milk  sugar  spice  nutsvegetariansweetuttar pradeshnorth
Sheera,17,semolina  ghee  nut  milkvegetariansweetmaharashtrawest
Singori,18,khoa  coconut  molu leafvegetariansweetuttarakhandnorth
Sohan halwa,19,corn flour  ghee  dry fruitsvegetariansweetuttar pradeshnorth
Sohan papdi,20,gram flour  ghee  sugar  milk  cardamomvegetariansweetmaharashtrawest
Chhena jalebi,21,chhena  sugar  gheevegetariansweetodishaeast
Chhena kheeri,22,chhena  sugar  milkvegetariansweetodishaeast
Chhena poda,23,sugar  chenna cheesevegetariansweetodishaeast
Cham cham,24,flour  cream  sugar  saffron  lemon juic  coconut flakesvegetariansweetwest bengaleast
Kheer sagar,25,chenna  condensed milk  sugar  saffron  cardamomvegetariansweetodishaeast
Ledikeni,26,chhena  sugar  gheevegetariansweetwest bengaleast
Lyangcha,27,flour  fried milk pow  sugar syrupvegetariansweetassamnorth east
Malapua,28,yoghurt  refined flour  ghee  fennel seedsvegetariansweetbiharnorth
Mihidana,29,besan flour  sugar  gheevegetariansweetwest bengaleast
Misti doi,30,milk  jaggeryvegetariansweetwest bengaleast
Pantua,31,chhena  sugar  ghee  flourvegetariansweetwest bengaleast
Pithe,32,rice flour  wheat flourvegetariansweetassamnorth east
Rasabali,33,chenna  sweetened milkvegetariansweetodishaeast
Ras malai,34,chhena  reduced milk  pistachiovegetariansweetwest bengaleast
Rasgulla,35,chhena  sugar  cardamomvegetariansweetwest bengaleast
Sandesh,36,milk  sugar  saffron  cardamomvegetariansweetwest bengaleast
Adhirasam,37,rice flour  jaggeri  ghee  vegetable oil  elachivegetariansweetwest bengaleast
Ariselu,38,rice flour  jaggeri  gheevegetariansweetandhra pradeshsouth
Bandar laddu,39,besan  jaggeri  cardamom powd  ghee  cashews and raisin  jaggery syrup  sugarvegetariansweetandhra pradeshsouth
Chikki,40,peanut  jaggeryvegetariansweetmaharashtrawest
Dharwad pedha,41,milk  sugar  dharwadi buffalo milkvegetariansweetkarnatakasouth
Double ka meetha,42,loaf bread  milkvegetariansweettelanganasouth
Gavvalu,43,rice flour  sugar  salt  ghee  semolinavegetariansweetandhra pradeshsouth
Kakinada khaja,44,wheat flour  sugarvegetariansweetandhra pradeshsouth
Kuzhi paniyaram,45,black lentil  ricevegetariansweetkeralasouth
Mysore pak,46,besan flour  semolina  mung bean  jaggeri  coconut  skimmed milk powd  sugar  gheevegetariansweetkarnatakasouth
Obbattu holige,47,maida flour  turmer  coconut  chickpea  jaggeri  ghee  cardamomvegetariansweetkarnatakasouth
Palathalikalu,48,rice flour  milkvegetariansweetandhra pradeshsouth
Poornalu,49,chana d  jaggeryvegetariansweetandhra pradeshsouth
Pongal,50,rice  jaggeri  cashew  gheevegetariansweettamil nadusouth
Pootharekulu,51,rice flour  powdered sugar  gheevegetariansweetandhra pradeshsouth
Qubani ka meetha,52,apricot  sugar syrupvegetariansweettelanganasouth
Sheer korma,53,vermicelli pud  milkvegetariansweettelanganasouth
